Ward,Pop_,Pop_0_14,Pop_0_4,Pop_5_9,Pop_10_14,Pop_15_64,Pop_15_19,Pop_20_24,Pop_25_29,Pop_30_34,Pop_35_39,Pop_40_44,Pop_45_49,Pop_50_54,Pop_55_59,Pop_60_64,Pop_65_plus,Pop_65_69,Pop_70_74,Pop_75_79,Pop_80_84,Pop_85_plus,Pop_85_89,Pop_90_94,Pop_95_99,Pop_100_plus,Pop_male,Pop_m_0_14,Pop_m_0_4,Pop_m_5_9,Pop_m_10_14,Pop_m_15_64,Pop_m_15_19,Pop_m_20_24,Pop_m_25_29,Pop_m_30_34,Pop_m_35_39,Pop_m_40_44,Pop_m_45_49,Pop_m_50_54,Pop_m_55_59,Pop_m_60_64,Pop_m_65_plus,Pop_m_65_69,Pop_m_70_74,Pop_m_75_79,Pop_m_80_84,Pop_m_85_plus,Pop_m_85_89,Pop_m_90_94,Pop_m_95_99,Pop_m_100_plus,Pop_female,Pop_f_0_14,Pop_f_0_4,Pop_f_5_9,Pop_f_10_14,Pop_f_15_64,Pop_f_15_19,Pop_f_20_24,Pop_f_25_29,Pop_f_30_34,Pop_f_35_39,Pop_f_40_44,Pop_f_45_49,Pop_f_50_54,Pop_f_55_59,Pop_f_60_64,Pop_f_65_plus,Pop_f_65_69,Pop_f_70_74,Pop_f_75_79,Pop_f_80_84,Pop_f_85_plus,Pop_f_85_89,Pop_f_90_94,Pop_f_95_99,Pop_f_100_plus,BAG_total,BAG_0_14,BAG_15_64,BAG_65_plus,BAG_85_plus,BAG_m_,BAG_m_0_14,BAG_m_15_64,BAG_m_65_plus,BAG_m_85_plus,BAG_f_,BAG_f_0_14,BAG_f_15_64,BAG_f_65_plus,BAG_f_85_plus,Avg_age,Med_age,Avg_age_male,Med_age_male,Avg_age_female,Med_age_female,Age_prim_HH_maint,APHHM_15_24,APHHM_25_34,APHHM_35_44,APHHM_45_54,APHHM_55_64,APHHM_65_74,APHHM_75_84,APHHM_85_plus,Struct_Type_Dwell,STD_SD_H,STD_App_5plus,STD_Oth_Attach,STD_OA_Semi_H,STD_OA_Row,STD_OA_App_FlDx,STD_OA_App_5less,STD_OA_Oth_SAH,STD_OA_MoveDwell,HH_Tenure,HHT_Owner,HHT_Renter,HHT_Band,HH_Size,HH_S_1,HH_S_2,HH_S_3,HH_S_4,HH_S_5plus,Pop_Priv_HH,Avg_HH_Size,Dwell_Cond,DC_RegMn_MinRp,DC_MajorRp,HH_Shltr_Cost,HHSC_30less,HHSC_30plus,HHSC_30p_100l,Moth_Tongue,MT_SingResp,MT_OfficLang,MT_Eng,MT_French,MT_NonOfficLang,MT_Mult,MT_Eng_Fren,MT_Eng_NonOff,MT_Fren_NonOff,MT_Eng_Fren_Oth,Imm_Stat_Tot,IS__NonImm,IS_Imm,IS_Imm_1981less,IS_Imm_81_90,IS_Imm_91_00,IS_Imm_01_10,IS_Imm_01_05,IS_Imm_06_10,IS_Imm_11_16,IS_NonPermRes,Vis_Minor,VM_Tot,VM_SAsian,VM_Chinese,VM_Black,VM_Filipino,VM_LA,VM_Arab,VM_SEAsian,VM_WAsian,VM_Korean,VM_Japanese,VM_nie,VM_Mult,VM_Not,Abor_Ident,AI_Tot,AI_Single,AI_FN,AI_Metis,AI_Inuit,AI_Mult,AI_Other,AI_Not,LF_Occu_15,LFO_NA,LFO_All,LFO_0,LFO_1,LFO_2,LFO_3,LFO_4,LFO_5,LFO_6,LFO_7,LFO_8,LFO_9,Comm_to_work,CTW_CTV_Driv,CTW_CTV_Pass,CTW_PT,CTW_Walk,CTW_Bike,CTW_Other,Inc_Decile_Fam,IDF_bottomhalf,IDF_1,IDF_2,IDF_3,IDF_4,IDF_5,IDF_tophalf,IDF_6,IDF_7,IDF_8,IDF_9,IDF_10,LFO_0_P,LFO_1_P,LFO_2_P,LFO_3_P,LFO_4_P,LFO_5_P,LFO_6_P,LFO_7_P,LFO_8_P,LFO_9_P,CTW_CTV_Driv_P,CTW_CTV_Pass_P,CTW_PT_P,CTW_Walk_P,CTW_Bike_P,CTW_Other_P,WARD_,WARD_1,HI_To_AVG,HI_To_MED,HI_To_b,HI_To_b_1,HI_To_b_2,HI_To_b_3,HI_To_b_4,HI_To_b_5,HI_To_b_6,HI_To_b_7,HI_To_b_8,HI_To_b_9,HI_To_b_10,HI_To_b_11,HI_To_b_12,HI_To_b_13,HI_To_b_14,HI_To_b_15,HI_To_b_16,HI_To_b_17,HI_To_b_18,HI_To_b_19,HI_To_b_20,HI_To_P,HI_To_P_AVG,HI_To_P_MED,HI_To_pb_AVG,HI_To_pb_MED,HI_To_bb,HI_To_b_AVG,HI_To_b_MED,OT,OT_1,OT_2,OT_3,OT_4,OT_5,OT_6,OT_7,MO_own,mon_own_dwe_MED,mon_own_dwe_AVG,Shape_Length,Shape_Area,WARD1,WARD_12,Cm_T,Cm_T_1,Cm_T_2,Cm_T_3,Cm_T_4,Cm_T_5,PH_t,PH_t_Own,PH_t_Rent,To_MO_own,To_MO_rent,To_MO_Total,WARD1_1,WARD_12_13,LF_ind_15,LFI_NA,LFI_total,LFI_1,LFI_2,LFI_3,LFI_4,LFI_5,LFI_6,LFI_7,LFI_8,LFI_9,LFI_10,LFI_11,LFI_12,LFI_13,LFI_14,LFI_15,LFI_16,LFI_17,LFI_18,LFI_19,LFI_20,LF_education_15,LFHed_1,LFHed_2,LFHed_3,LFHed_4,LFHed_5,LFHed_6,LFHed_7,LFHed_8,LFHed_9,LFHed_10,LFHed_11,LFHed_12,LFHed_13,LFHed_14,LF_status_15,LFS_1,LFS_2,LFS_3,LFS_4,LFS_5_P,LFS_6_P,LFS_7_P,LF_workL_15,LFWL_1,LFWL_2,LFWL_3,LFWL_4,WARD1_12,WARD_12_13_14,LF_IncM_15,IncM_1,IncM_2,IncM_3,IncM_4,LF_IncF_15,IncF_1,IncF_2,IncF_3,IncF_4,LF_LIM_15,LIM_1,LIM_2,LIM_3,LIM_4,LF_LIMP_15,LIM_1_P,LIM_2_P,LIM_3_P,LIM_4_P,LF_LICO_15,LICO_1,LICO_2,LICO_3,LICO_4,LF_LICOP_15,LICO_1_P,LICO_2_P,LICO_3_P,LICO_4_P,LF_CP_15,CP_1,CP_2,CP_3,CP_4,LF_ISP_15,ISP_1,ISP_2,ISP_3,ISP_4,ISP_5,ISP_6,ISP_7,ISP_8,ISP_9,ISP_10,LF_IAP_15,IAP_1,IAP_2,IAP_3,IAP_4,IAP_5,LF_VS_15,VS_1,VS_2,VS_3,VS_4,VS_5,VS_6,VS_7,VS_8,VS_9,VS_10,VS_11,VS_12,VS_13,VS_14,LF_GNS_15,GNS_1,GNS_2,GNS_3,GNS_1_P,GNS_2_P,GNS_3_P,EO_EastIndia,EO_Canada,EO_Eng,EO_Chinese,EO__Irish,EO_Scottish,EO_Italian,EO_Polish,EO_Filipino,EO_Pakistani,EO_Portuguese,EO_German,EO_French,EO_Jamaican,EO_Ukrainian,EO_Vietnamese,EO_Spanish,EO_egyptian,EO_SriLankan,EO_BritishOr,EO_SouthAsianOr,EO_Croatian,EO_Dutch,EO_Russian,EO_Greek,EO_OthAfrican,EO_Iraqi,EO_Arabnos,EO_Palestinian,EO_Korean,LF_PB_15,PB_India,PB_Pakistan,PB_Philippines,PB_China,PB_Poland,PB_Portugal,PB_Jamaica,PB_UnitedKing,PB_Vietnam,PB_Egypt,PB_SriLanka,PB_italy,PB_Iraq,PB_HongKong,PB_Guyana,PB_Trini,PB_UnitedState,PB_Ukraine,PB_KoreaSouth,PB_Colombia,PB_Croatia,PB_Syria,PB_Lebanon,PB_Romania,PB_Iran,PB_Germnay,PB_Bosnia,PB_Bangladesh,PB_AFG,PB_Russia,LF_MOB_15,MOB_1,MOB_2,MOB_3,MOB_4,MOB_5,MOB_6,MOB_7,MOB_8,LF_KNO_15,KNO_1,KNO_2,KNO_3,KNO_4,MOT_English,MOT_Urdu,MOT_Arabic,MOT_Polish,MOT_Mandarin,MOT_Punjabi,MOT_Tagalog,MOT_Cantonese,MOT_Spanish,MOT_Portuguese,MOT_Italian,MOT_Tamil,MOT_Vietna,MOT_Hindi,MOT_Gujarati,MOT_French,MOT_Ukrainian,MOT_Persian,MOT_Croatian,MOT_Russian,MOT_Korean,MOT_Serbian,MOT_Bengali,MOT_German,MOT_Romanian,MOT_Malayalam,MOT_Greek,MOT_NigerCon,MOT_Albanian,MOT_Telugu,MOH_English,MOH_Urdu,MOH_Mandarin,MOH_Arabic,MOH_Polish,MOH_Punjabi,MOH_Cantonese,MOH_Spanish,MOH_Tangolog,MOH_Tamil,MOH_Portuguese,MOH_Vietnamese,MOH_Hindi,MOH_Gujarati,MOH_Italian,MOH_Ukrainian,MOH_Persian,MOH_Korean,MOH_french,MOH_Russian,MOH_Serbian,MOH_Bengali,MOH_Croatian,MOH_Malaya,MOH_Romanian,MOH_Telugu,MOH_Albanian,MOH_Greek,MOH_Assy,MOH_Bulgarian,WARD1_12_13,WARD_12_13_14_15,MOW_English,MOW_mandarin,MOW_French,MOW_Cantonese,MOV_Polish,MOW_Punjabi,MOW_Arabic,MOW_Spanish,MOW_Vietnamese,MOW_Urdu,MOW_Portuguese,MOW_Korean,MOW_Ukrainian,MOW_Tagalog,MOW_Hindi,MOW_Tamil,MOW_Russian,MOW_Gujarati,MOW_Japanese,MOW_Persian,MOW_Albanian,MOW_Serbian,MOW_Italian,MOW_Chinesenos,MOW_Macedonian,MOW_Croaian,MOW_Bosnian,MOW_Lithunian,MOW_German,MOW_Bengali,HI_To,HI_To_1,HI_To_2,HI_To_3,HI_To_4,HI_To_5,HI_To_6,HI_To_7,HI_To_8,HI_To_9,HI_To_10,HI_To_11,HI_To_12,HI_To_13,HI_To_14,HI_To_15,HI_To_16,HI_To_17,HI_To_18,HI_To_19,Eth_Origin,Mother_Tongue,Most_O_Home,Most_O_Work,VM_Not_P,AI_Tot_P,KNO_1_P,KNO_2_P,KNO_3_P,KNO_4_P,dwe_AVG_2011_2016,Struct_2011_2016,Pop_change_11_16,LF_FS_15,LFFS_1,LFFS_2,LFFS_3,LFFS_4,LF_LP_15,LP_1,LP_2,LP_3,LF_Ma_status_15,LFMa_1,LFMa_2,LFMa_3,LFMa_4,LFMa_5,LFMa_6,LFMa_7,LFMa_8,LF_nsf_15,nsf_1,nsf_2,nsf_3,nsf_4,nsf_5,nsf_6,LF_CFS_15,CFS_1,CFS_2,CFS_3,CFS_4,CFS_5,MOT_Hungarian,MOH_Turkish,MOH_Bosnian,MOW_MinDong,MOW_Bulgarian,dwe_AVG,dwe_MED,mon_rent_dwe_AVG,mon_rent_dwe_MED,MOT_Assy,LF_Inc_15,Inc_ho_AVG,Inc_ho_MED,Inc_ho__Aftax_AVG,Inc_ho__Aftax_MED,LF_IncMa_M,IncMa_M_AVG,IncMa_M_MED,LF_IncMa_F,IncMa_F_AVG,IncMa_F_MED,IncMa_AVG,IncMa_MED,LFFS_AVG,Vis_Minor_P,ObjectId
4,72710,11030,3730,3765,3530,50380,3870,5555,6075,5795,5065,4540,4820,5180,4995,4485,11300,3715,2790,2080,1395,1315,880,350,70,15,35115,5625,1805,1990,1835,24365,1995,2770,3000,2800,2465,2195,2255,2495,2290,2100,5120,1735,1285,975,615,510,370,120,15,10,37600,5405,1925,1780,1700,26015,1875,2785,3075,2995,2600,2345,2565,2690,2700,2385,6180,1975,1505,1110,780,805,510,230,55,5,100,15,69,16,2,100,16,69,15,2,100,14,69,16,2,40,39,39,38,41,40,27000,915,4055,4795,5705,5155,3710,1985,690,27045,4710,14865,7470,1880,3015,925,1645,5,0,27000,16900,10100,0,27045,6625,8050,5035,4300,3035,72195,3,27000,26010,990,26945,16340,10605,8305,72080,68275,27595,27010,590,40680,3805,165,3395,100,145,72080,25580,43605,8880,5650,9880,11875,6150,5730,7325,2895,72080,45805,16630,5315,5235,4870,2560,4915,1725,1115,580,275,1030,1555,26275,72080,265,250,180,55,15,10,10,71815,39425,1360,38070,3675,7515,4100,1990,3230,895,9970,4540,235,1915,33750,23140,2085,6990,1130,90,315,72080,39375,10215,8085,7195,6680,7195,32700,7430,6905,7345,6530,4490,9.653270292,19.73995272,10.76963488,5.227213029,8.484370896,2.350932493,26.18859995,11.92540058,0.617283951,5.030207512,68.56296296,6.177777778,20.71111111,3.348148148,0.266666667,0.933333333,4,4,78552,70512,27000,1130,335,630,1010,935,1015,1010,1035,1135,1265,2350,1895,1885,1860,1555,7950,3000,1955,1785,1205,6630,49899,43475,41505,38147,20370,91127,79444,27000,535,8580,7155,3250,1930,3105,2455,62,1534,1561,16185.7179,12112469.1,4,4,33750,4930,12230,7800,3505,5285,27000,16900,10100,16900,10100,27000,4,4,39430,1355,38070,60,45,155,2280,3915,2115,4555,2530,1060,2855,910,4185,120,2255,2160,3125,445,2535,1550,1210,61055,8550,15795,36710,2950,1735,1220,10665,2090,21000,13975,1520,620,4475,410,61050,39425,35935,3495,21620,65,59,9,35935,1880,305,4295,29450,4,4,4255,48673,40824,40135,36494,4710,40042,33097,34190,30233,14175,3985,1380,8565,1630,20,31,31,18,15,11625,3165,1075,7440,1015,16,24,25,15,9,72080,58655,10635,48020,13425,72080,25580,43605,8880,5650,9880,11875,6150,5730,7325,2895,43605,3505,7225,8935,19145,4795,72080,45805,16630,5315,5235,4870,2560,4915,1725,1115,580,275,1030,1555,26275,72080,46835,17855,7385,65,25,10,11830,5015,3940,6530,2790,2705,3830,4440,5245,2985,3685,1845,1640,2450,2230,1890,1680,1135,1085,525,760,1110,510,765,675,840,1130,1040,960,600,43610,6040,2955,4045,2190,2695,1470,1105,710,1295,835,895,1060,1155,710,700,630,530,635,415,765,555,745,410,245,405,210,395,350,340,215,71385,60425,10960,5325,5640,2865,2365,490,2775,72080,64060,55,4805,3155,27010,3270,4580,3035,2575,1415,2880,1610,2500,1910,1440,1265,1365,1440,805,590,1005,775,700,555,510,490,535,240,255,260,220,315,280,450,38990,1840,1940,2800,1835,810,1190,1755,1220,705,1005,850,695,375,455,610,450,355,300,325,320,310,290,135,110,210,135,80,85,160,4,4,38755,205,120,85,95,25,85,50,95,20,65,30,30,0,15,25,10,0,15,25,10,0,10,15,0,10,0,0,0,10,27000,1150,330,655,1035,1025,1090,1165,1225,1575,1555,2540,2375,2200,1940,1485,5655,2655,1365,1640,13390,72080,72080,41020,36,0.4,88.9,0.1,6.7,4.4,32.2,11.4,7.3,20510,9135,5255,4270,1845,3890,2375,1120,400,61680,34550,31490,3060,27130,18875,1745,3460,3050,20510,16615,15095,1525,3890,3290,600,16615,6765,9855,4140,3985,1735,110,140,95,0,10,483717,419661,1375,1445,125,27000,81004,68393,69455,60722,29225,36422,30612,31825,28752,23799,32461,26742,3,63.55,1
10,74715,15710,3970,5535,6205,53530,6445,5935,4440,4015,4940,6105,6925,6675,4935,3115,5480,2080,1370,980,615,435,295,115,10,10,36825,7995,1990,2765,3235,26300,3340,3075,2220,1835,2095,2805,3340,3335,2625,1635,2530,1020,650,420,285,150,105,35,5,0,37890,7715,1980,2765,2965,27230,3110,2860,2220,2180,2845,3300,3580,3340,2315,1480,2945,1070,715,555,325,285,190,80,10,5,100,21,72,7,1,100,22,71,7,0,100,20,72,8,1,35,36,35,35,36,37,20590,115,1750,5020,7220,4420,1460,470,145,20585,10295,115,10175,5885,3455,275,550,0,0,20595,18175,2415,0,20590,1655,3500,4175,6230,5030,74695,4,20590,20145,445,20570,14505,6065,5215,74760,70025,32435,31750,685,37585,4740,245,4265,90,135,74760,30000,43955,4705,4920,11990,15750,8810,6940,6585,810,74760,53705,23450,5980,4990,4535,1320,7960,1280,850,665,100,905,1665,21055,74765,155,140,80,60,0,10,0,74610,41500,1315,40185,5080,8245,5225,2690,3960,920,8800,3720,150,1395,35195,26645,2265,5375,470,60,375,74760,28735,5560,5670,5330,5775,6395,46025,8360,8360,9885,11020,8405,12.64153291,20.51760607,13.00236407,6.694040065,9.854423292,2.289411472,21.89871843,9.257185517,0.37327361,3.471444569,75.70677653,6.435573235,15.27205569,1.335416963,0.170478761,1.065492257,10,10,106051,98196,20595,220,125,135,260,300,285,405,530,535,550,1050,1105,1255,1230,1190,11420,2925,2530,3435,2535,1660,66624,55023,52597,46720,18930,127488,114873,20595,20,175,1635,6220,6605,4115,1830,80,2029,1968,19448.23899,14915809.67,10,10,35190,4135,11435,8935,4040,6655,20595,18175,2415,18180,2415,20595,10,10,41495,1315,40185,80,70,280,1620,3925,2750,4925,2470,1180,3655,885,4695,125,1730,2770,3660,485,2070,1380,1435,59070,7240,13445,38380,1945,1060,880,9565,1675,25200,16915,1535,970,5210,575,59070,41495,38230,3270,17575,70,65,8,38225,2615,420,3480,31715,10,10,1105,66137,51794,51002,43181,1315,49536,41884,41223,37311,8715,3120,715,5130,465,12,16,15,10,9,6545,2290,570,3930,325,9,12,12,8,6,74765,65100,17300,47800,9660,74760,30000,43955,4705,4920,11990,15750,8810,6940,6585,810,43955,4725,8550,7095,19180,4400,74760,53705,23450,5980,4990,4535,1320,7960,1280,850,665,100,905,1665,21055,74765,45080,21190,8495,60,28,11,14480,5825,4345,7115,3130,3410,3945,3000,4945,6855,2805,1990,1710,2505,985,1245,1285,3160,1360,805,1465,605,650,540,530,705,1635,1580,1385,695,43950,5795,7380,3285,2420,1300,630,1385,775,890,2530,1045,345,1600,795,635,650,710,140,455,295,170,405,380,300,335,120,155,330,295,145,74045,66005,8040,4855,3180,1675,1380,290,1510,74765,66470,75,6080,2140,31750,7525,6495,1785,2455,1435,2375,1755,1400,1060,795,1060,785,965,1025,685,75,525,315,345,520,145,460,105,350,255,130,260,85,260,43120,4385,1945,3425,1015,735,1160,895,970,625,230,460,415,465,110,50,310,255,430,265,110,215,90,35,145,100,25,20,115,15,10,10,41765,165,145,55,30,20,55,25,25,50,10,40,0,20,15,15,15,0,0,0,0,0,10,10,0,10,0,0,10,0,20595,235,135,135,260,310,335,445,595,685,650,1345,1460,1575,1580,1555,9290,3265,2615,3415,10500,74760,74765,43555,28,0.2,88.9,0.1,8.1,2.9,41.1,8.2,6.9,20325,5215,4915,6870,3330,2355,1230,800,330,59005,36755,35055,1700,22250,18030,895,1575,1750,20325,17970,17125,850,2355,1940,420,17970,3980,13985,4115,6615,3250,60,90,10,0,0,672547,649251,1834,1840,175,20590,122574,108645,101735,93335,28795,44210,37231,30275,32433,25447,38182,30575,4,71.84,2
7,80715,13310,4605,4515,4190,55220,4385,5520,5885,6230,6005,5650,5580,6060,5425,4485,12185,3980,3040,2315,1545,1305,840,380,80,15,39110,6850,2370,2325,2155,26820,2290,2795,2845,2955,2815,2770,2695,2960,2605,2090,5445,1785,1420,1050,715,480,340,125,15,0,41600,6460,2235,2195,2030,28400,2095,2720,3040,3275,3195,2875,2880,3100,2820,2395,6740,2195,1620,1270,830,825,500,250,65,15,100,17,68,15,2,100,18,69,14,1,100,16,68,16,2,40,39,39,38,41,40,30830,765,4370,6175,6720,5785,3995,2380,645,30815,6105,18655,6055,1610,1865,770,1810,5,5,30830,17485,13345,0,30820,8280,8875,5575,4955,3135,79940,3,30830,29200,1635,30805,18875,11930,9660,80060,75210,31135,30470,665,44075,4845,220,4335,145,140,80055,29960,47725,9470,5820,9785,13395,6145,7250,9255,2370,80060,47290,16645,5275,4755,5570,2110,5945,2025,1500,885,160,920,1500,32770,80060,445,425,290,135,0,10,15,79610,42695,1490,41205,4400,7940,3825,2295,3505,845,10375,5350,220,2445,36315,24310,2120,8170,1320,105,290,80055,46730,13075,9160,8840,7895,7755,33330,7060,6850,6745,7185,5490,10.67831574,19.26950613,9.282854023,5.569712414,8.506249242,2.050722,25.17898313,12.98386118,0.533915787,5.933745905,66.94203497,5.837808068,22.49759053,3.634861627,0.28913672,0.798568085,7,7,78625,67478,30835,1005,530,850,1400,1265,1270,1345,1340,1400,1300,2715,2435,2200,2000,1670,8095,2885,1865,1875,1465,8230,47815,38695,40074,34457,22600,92576,75833,30835,2305,10225,5895,5265,3055,2960,1120,63,1528,1599,22564.49625,16170402.16,7,7,36315,4785,12435,8970,4025,6100,30830,17485,13345,17485,13345,30830,7,7,42695,1495,41200,65,45,175,2760,4450,2320,4865,2920,1065,3050,885,3760,70,2650,2315,3810,480,2665,1675,1170,66760,10650,17000,39105,3215,1745,1470,11660,2195,22030,14775,1410,695,4685,470,66755,42695,38775,3915,24060,64,58,9,38775,2075,390,4675,31640,7,7,5185,44787,37022,37677,33359,5700,41368,30620,35021,28119,17570,4890,1845,10600,2080,22,31,33,20,18,14910,4085,1555,9425,1395,19,26,28,18,12,80060,64875,13000,51875,15180,80055,29960,47725,9470,5820,9785,13395,6145,7250,9255,2370,47730,3955,8025,9590,21005,5155,80060,47290,16645,5275,4755,5570,2110,5945,2025,1500,885,160,920,1500,32770,80055,50480,19895,9685,63,25,12,11065,6290,4765,6460,3765,3440,4705,6485,5960,3540,5085,2110,1970,2035,2045,1945,1740,1120,1145,905,995,910,755,705,670,845,1485,995,1340,900,47730,5925,3540,4475,2235,3795,2105,1090,855,1370,845,990,1065,1665,705,665,655,510,530,630,535,445,680,650,295,380,335,390,400,585,260,79100,67430,11665,5980,5695,2855,2525,325,2840,80055,71510,85,5045,3415,30470,3955,5290,4580,2410,1020,3060,1665,2070,2635,1530,1290,1305,1165,920,665,865,1075,630,475,710,410,520,265,305,455,250,375,365,305,43185,2285,1870,3255,2730,555,1170,1205,1660,860,1220,865,585,480,530,440,680,520,420,345,195,315,310,270,185,140,185,130,160,80,7,7,42245,180,125,110,140,35,70,30,50,50,55,25,35,40,25,0,0,10,0,10,0,0,0,0,0,10,0,20,0,0,30830,1040,530,855,1430,1405,1425,1525,1600,1685,1640,3190,2850,2370,1855,1500,5950,2630,1365,1955,16905,80060,80060,44755,41,0.6,89.3,0.1,6.3,4.3,37.5,1.6,1,22315,9730,5700,4880,2010,4365,2750,1165,455,67400,37355,34175,3180,30050,20140,2155,4195,3560,22320,17955,16365,1585,4360,3645,715,17960,6985,10975,4530,4535,1910,195,50,85,0,0,548064,449590,1211,1205,275,30830,80624,64274,68331,57110,32055,37073,30543,34700,29793,23291,33306,26665,3,59.07,3
3,59055,9200,2795,3170,3240,38300,3470,3605,3400,3425,3490,3795,4220,4565,4465,3875,11555,3420,2640,2190,1655,1640,1035,465,125,15,28535,4680,1395,1615,1670,18755,1820,1830,1735,1645,1600,1785,2040,2310,2160,1835,5105,1570,1210,1015,720,590,410,145,30,5,30520,4520,1400,1550,1570,19545,1655,1775,1670,1785,1890,2005,2180,2255,2300,2040,6450,1855,1430,1175,935,1050,625,325,95,10,100,16,65,20,3,100,16,66,18,2,100,15,64,21,3,43,44,42,43,44,45,21360,165,1830,3445,4755,4780,3485,2120,770,21360,6805,8125,6150,1525,2635,445,1540,0,275,21365,13505,7860,0,21360,4715,6490,4125,3635,2390,57960,3,21365,19835,1525,21345,14465,6875,5940,57950,55440,24205,23855,350,31240,2510,95,2285,90,35,57950,26090,31030,8415,4175,6700,8100,4325,3770,3635,825,57950,22805,6955,3490,3375,2355,1200,1180,1780,370,580,210,465,840,35145,57955,375,375,245,125,0,0,0,57570,30390,865,29525,2830,5295,2440,1495,2530,875,7525,4445,220,1865,26320,18020,1760,5305,840,125,270,57950,30600,6250,6585,5955,5695,6120,27350,5240,5650,5755,5580,5120,9.585097375,17.93395428,8.264182896,5.063505504,8.569009314,2.963590178,25.48687553,15.0550381,0.745131245,6.316680779,68.46504559,6.686930091,20.15577508,3.191489362,0.474924012,1.025835866,3,3,85032,74152,21360,330,250,545,685,800,820,960,940,940,835,1850,1625,1495,1310,1100,6890,2235,1585,1720,1355,4720,45264,35175,38351,32328,16645,100044,83780,21360,1745,12385,4715,1270,610,470,165,50,1095,1421,18161.03282,16550476.47,3,3,26315,4350,9190,6185,2595,3990,21365,13505,7860,13505,7855,21360,3,3,30390,865,29525,75,30,110,2260,3475,1570,3460,2205,805,1670,710,2445,90,1855,1815,2275,495,1805,1470,915,48825,8950,13650,26230,3005,1730,1270,8940,1405,12880,8310,1060,305,2890,315,48825,30390,27960,2435,18435,62,57,8,27960,1530,110,3545,22775,3,3,2785,43006,34441,36236,31061,3330,40014,32099,34507,29276,9735,2840,1030,5640,1255,17,26,30,16,12,7365,2120,710,4515,735,13,19,21,13,7,57950,50970,9845,41120,6980,57950,26090,31030,8415,4175,6700,8100,4325,3770,3635,825,31030,2510,4900,6985,13650,2970,57950,22805,6955,3490,3375,2355,1200,1180,1780,370,580,210,465,840,35145,57950,32120,15935,9895,55,27,17,3520,5655,5000,4210,3825,3300,4755,6140,2505,1805,2815,2365,1765,1575,4450,1660,850,250,865,760,340,1340,525,1255,910,645,290,290,255,590,31030,1395,1960,1855,1820,3615,1225,620,725,1350,180,775,1460,270,220,325,395,380,1625,415,225,730,330,135,455,110,405,605,210,100,435,57455,51350,6105,3170,2930,1965,1675,285,970,57950,51345,30,3825,2745,23855,1930,1035,4180,1685,465,1320,855,1320,1580,1885,920,1240,215,140,350,2395,205,900,1090,465,1190,250,445,430,60,415,240,455,130,32805,1285,1305,655,2305,225,630,770,655,635,665,995,90,135,595,1485,130,345,215,730,790,165,470,35,195,65,270,200,80,250,3,3,30205,70,90,45,135,25,40,50,30,0,20,35,125,0,10,10,25,0,0,0,10,20,10,0,20,15,10,0,10,0,21365,340,270,545,715,840,950,1105,1025,1100,1010,2240,1855,1580,1370,1115,5310,2215,1270,1830,17960,57950,57950,32085,61,0.6,88.6,0.1,6.6,4.7,38.8,-0.6,-1.3,16810,7420,4270,3630,1485,3280,2020,915,350,49860,28030,25585,2450,21830,14070,1495,3045,3215,16810,13530,12310,1225,3280,2705,570,13535,5405,8130,3360,3365,1405,270,80,135,25,0,585425,599519,1210,1235,115,21360,87937,70503,74716,62600,23480,38360,31783,25345,30527,24978,34295,27948,3,39.35,4
